PING 10.0.0.4 (10.0.0.4) 56(84) bytes of data.
64 bytes from 10.0.0.4: icmp_seq=1 ttl=64 time=0.683 ms
64 bytes from 10.0.0.4: icmp_seq=2 ttl=64 time=0.071 ms
64 bytes from 10.0.0.4: icmp_seq=3 ttl=64 time=0.100 ms
64 bytes from 10.0.0.4: icmp_seq=4 ttl=64 time=0.140 ms
64 bytes from 10.0.0.4: icmp_seq=5 ttl=64 time=0.135 ms
64 bytes from 10.0.0.4: icmp_seq=6 ttl=64 time=0.073 ms
64 bytes from 10.0.0.4: icmp_seq=7 ttl=64 time=0.068 ms
64 bytes from 10.0.0.4: icmp_seq=8 ttl=64 time=0.122 ms
64 bytes from 10.0.0.4: icmp_seq=9 ttl=64 time=0.075 ms
64 bytes from 10.0.0.4: icmp_seq=10 ttl=64 time=0.076 ms
64 bytes from 10.0.0.4: icmp_seq=11 ttl=64 time=0.092 ms
64 bytes from 10.0.0.4: icmp_seq=12 ttl=64 time=0.073 ms
64 bytes from 10.0.0.4: icmp_seq=13 ttl=64 time=0.142 ms
64 bytes from 10.0.0.4: icmp_seq=14 ttl=64 time=0.124 ms
64 bytes from 10.0.0.4: icmp_seq=15 ttl=64 time=0.082 ms
64 bytes from 10.0.0.4: icmp_seq=16 ttl=64 time=0.072 ms
64 bytes from 10.0.0.4: icmp_seq=17 ttl=64 time=0.120 ms
64 bytes from 10.0.0.4: icmp_seq=18 ttl=64 time=0.091 ms
64 bytes from 10.0.0.4: icmp_seq=19 ttl=64 time=0.167 ms
64 bytes from 10.0.0.4: icmp_seq=20 ttl=64 time=0.094 ms
64 bytes from 10.0.0.4: icmp_seq=21 ttl=64 time=0.142 ms
64 bytes from 10.0.0.4: icmp_seq=22 ttl=64 time=0.083 ms
64 bytes from 10.0.0.4: icmp_seq=23 ttl=64 time=0.207 ms
64 bytes from 10.0.0.4: icmp_seq=24 ttl=64 time=0.107 ms
64 bytes from 10.0.0.4: icmp_seq=25 ttl=64 time=0.140 ms
64 bytes from 10.0.0.4: icmp_seq=26 ttl=64 time=0.161 ms
64 bytes from 10.0.0.4: icmp_seq=27 ttl=64 time=0.087 ms
64 bytes from 10.0.0.4: icmp_seq=28 ttl=64 time=0.142 ms
64 bytes from 10.0.0.4: icmp_seq=29 ttl=64 time=0.087 ms
64 bytes from 10.0.0.4: icmp_seq=30 ttl=64 time=0.124 ms
64 bytes from 10.0.0.4: icmp_seq=31 ttl=64 time=0.085 ms
64 bytes from 10.0.0.4: icmp_seq=32 ttl=64 time=9.57 ms
64 bytes from 10.0.0.4: icmp_seq=33 ttl=64 time=1.62 ms
64 bytes from 10.0.0.4: icmp_seq=34 ttl=64 time=7.83 ms
64 bytes from 10.0.0.4: icmp_seq=35 ttl=64 time=2.92 ms
64 bytes from 10.0.0.4: icmp_seq=36 ttl=64 time=5.00 ms
64 bytes from 10.0.0.4: icmp_seq=37 ttl=64 time=5.37 ms
64 bytes from 10.0.0.4: icmp_seq=38 ttl=64 time=4.01 ms
64 bytes from 10.0.0.4: icmp_seq=39 ttl=64 time=5.91 ms
64 bytes from 10.0.0.4: icmp_seq=40 ttl=64 time=18.9 ms
64 bytes from 10.0.0.4: icmp_seq=41 ttl=64 time=12.9 ms
64 bytes from 10.0.0.4: icmp_seq=42 ttl=64 time=12.0 ms
64 bytes from 10.0.0.4: icmp_seq=43 ttl=64 time=7.31 ms
64 bytes from 10.0.0.4: icmp_seq=44 ttl=64 time=8.49 ms
64 bytes from 10.0.0.4: icmp_seq=45 ttl=64 time=6.80 ms
64 bytes from 10.0.0.4: icmp_seq=46 ttl=64 time=5.54 ms
64 bytes from 10.0.0.4: icmp_seq=47 ttl=64 time=3.41 ms
64 bytes from 10.0.0.4: icmp_seq=48 ttl=64 time=2.77 ms
64 bytes from 10.0.0.4: icmp_seq=49 ttl=64 time=2.51 ms
64 bytes from 10.0.0.4: icmp_seq=50 ttl=64 time=7.24 ms
64 bytes from 10.0.0.4: icmp_seq=51 ttl=64 time=6.17 ms
64 bytes from 10.0.0.4: icmp_seq=52 ttl=64 time=4.01 ms
64 bytes from 10.0.0.4: icmp_seq=53 ttl=64 time=4.01 ms
64 bytes from 10.0.0.4: icmp_seq=54 ttl=64 time=2.01 ms
64 bytes from 10.0.0.4: icmp_seq=55 ttl=64 time=6.73 ms
64 bytes from 10.0.0.4: icmp_seq=56 ttl=64 time=1.82 ms
64 bytes from 10.0.0.4: icmp_seq=57 ttl=64 time=3.58 ms
64 bytes from 10.0.0.4: icmp_seq=58 ttl=64 time=1.99 ms
64 bytes from 10.0.0.4: icmp_seq=59 ttl=64 time=1.18 ms
64 bytes from 10.0.0.4: icmp_seq=60 ttl=64 time=1.20 ms
64 bytes from 10.0.0.4: icmp_seq=61 ttl=64 time=59.9 ms
64 bytes from 10.0.0.4: icmp_seq=62 ttl=64 time=238 ms
64 bytes from 10.0.0.4: icmp_seq=63 ttl=64 time=220 ms
64 bytes from 10.0.0.4: icmp_seq=64 ttl=64 time=238 ms
64 bytes from 10.0.0.4: icmp_seq=65 ttl=64 time=499 ms
64 bytes from 10.0.0.4: icmp_seq=66 ttl=64 time=526 ms
64 bytes from 10.0.0.4: icmp_seq=67 ttl=64 time=345 ms
64 bytes from 10.0.0.4: icmp_seq=68 ttl=64 time=641 ms
64 bytes from 10.0.0.4: icmp_seq=69 ttl=64 time=1110 ms
64 bytes from 10.0.0.4: icmp_seq=70 ttl=64 time=686 ms
64 bytes from 10.0.0.4: icmp_seq=71 ttl=64 time=921 ms
64 bytes from 10.0.0.4: icmp_seq=72 ttl=64 time=1463 ms
64 bytes from 10.0.0.4: icmp_seq=73 ttl=64 time=1780 ms
64 bytes from 10.0.0.4: icmp_seq=74 ttl=64 time=2472 ms
64 bytes from 10.0.0.4: icmp_seq=75 ttl=64 time=2723 ms
64 bytes from 10.0.0.4: icmp_seq=76 ttl=64 time=2397 ms
64 bytes from 10.0.0.4: icmp_seq=77 ttl=64 time=2763 ms
64 bytes from 10.0.0.4: icmp_seq=80 ttl=64 time=2860 ms
64 bytes from 10.0.0.4: icmp_seq=83 ttl=64 time=2565 ms
64 bytes from 10.0.0.4: icmp_seq=85 ttl=64 time=1779 ms
64 bytes from 10.0.0.4: icmp_seq=86 ttl=64 time=1393 ms
64 bytes from 10.0.0.4: icmp_seq=87 ttl=64 time=903 ms
64 bytes from 10.0.0.4: icmp_seq=88 ttl=64 time=792 ms
64 bytes from 10.0.0.4: icmp_seq=89 ttl=64 time=1243 ms
64 bytes from 10.0.0.4: icmp_seq=90 ttl=64 time=2093 ms
64 bytes from 10.0.0.4: icmp_seq=91 ttl=64 time=2135 ms
64 bytes from 10.0.0.4: icmp_seq=92 ttl=64 time=1858 ms
64 bytes from 10.0.0.4: icmp_seq=93 ttl=64 time=2134 ms
64 bytes from 10.0.0.4: icmp_seq=94 ttl=64 time=2756 ms
64 bytes from 10.0.0.4: icmp_seq=95 ttl=64 time=2905 ms
64 bytes from 10.0.0.4: icmp_seq=96 ttl=64 time=2569 ms
64 bytes from 10.0.0.4: icmp_seq=97 ttl=64 time=2805 ms
64 bytes from 10.0.0.4: icmp_seq=98 ttl=64 time=2728 ms
64 bytes from 10.0.0.4: icmp_seq=99 ttl=64 time=2422 ms
64 bytes from 10.0.0.4: icmp_seq=100 ttl=64 time=2989 ms
64 bytes from 10.0.0.4: icmp_seq=101 ttl=64 time=2934 ms
64 bytes from 10.0.0.4: icmp_seq=102 ttl=64 time=2936 ms
64 bytes from 10.0.0.4: icmp_seq=103 ttl=64 time=3112 ms
64 bytes from 10.0.0.4: icmp_seq=104 ttl=64 time=3178 ms
64 bytes from 10.0.0.4: icmp_seq=105 ttl=64 time=2927 ms
64 bytes from 10.0.0.4: icmp_seq=107 ttl=64 time=2810 ms
64 bytes from 10.0.0.4: icmp_seq=110 ttl=64 time=2353 ms
64 bytes from 10.0.0.4: icmp_seq=113 ttl=64 time=1891 ms
64 bytes from 10.0.0.4: icmp_seq=114 ttl=64 time=1854 ms
64 bytes from 10.0.0.4: icmp_seq=116 ttl=64 time=1812 ms
64 bytes from 10.0.0.4: icmp_seq=117 ttl=64 time=1738 ms
64 bytes from 10.0.0.4: icmp_seq=118 ttl=64 time=1933 ms
64 bytes from 10.0.0.4: icmp_seq=120 ttl=64 time=1892 ms

--- 10.0.0.4 ping statistics ---
120 packets transmitted, 108 received, 10% packet loss, time 119227ms
rtt min/avg/max/mdev = 0.068/829.363/3178.209/1113.772 ms, pipe 4
